Video Number,Age of Child,Corpus Number,Machine Intelligence Answer,MIA_anger,MIA_contempt,MIA_disgust,MIA_fear,MIA_happiness,MIA_neutral,MIA_sadness,MIA_surprise,Kefan Answer,FaceID,bald,haircolor,Age according to Face API
1,6,1,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Happiness,9e578e33-1e03-4a6a-9bcb-4b5f6b58f27e,0.01,brown,6
2,3,2,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Happiness,5cc42402-ae47-40d1-8308-30ee3d8a5ee2,0.03,blond,3
3,2,3,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.615,
        ""neutral"": 0.032,
        ""sadness"": 0.001,
        ""surprise"": 0.351
",0,0,0,0,0.615,0.032,0.001,0.351,Happiness,854927e9-0cfd-43b8-9239-416c7e599500,0.17,blond,2
4,5,4,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.995,
        ""neutral"": 0.005,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,0.995,0.005,0,0,Happiness,9bc603c1-835c-4f73-baac-4932d29020a0,0.04,brown,5
5,4,5,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.91,
        ""neutral"": 0.083,
        ""sadness"": 0.0,
        ""surprise"": 0.007
",0,0,0,0,0.91,0.083,0,0.007,Happiness,ab7d788d-e67f-4e6a-afb0-e9ae9bb5d120,0.05,blond,4
6,8,6,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.994,
        ""sadness"": 0.001,
        ""surprise"": 0.005
",0,0,0,0,0,0.994,0.001,0.005,Neutral,ec048f9e-a890-47ba-9094-ab07151a793e,0,brown,8
7,1,7,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.126,
        ""neutral"": 0.446,
        ""sadness"": 0.001,
        ""surprise"": 0.426
",0,0,0,0,0.126,0.446,0.001,0.426,Neutral,cfbd4c7d-939a-4bbf-b1a0-59bcdef55a62,0.02,brown,1
8,5,8,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.533,
        ""sadness"": 0.0,
        ""surprise"": 0.467
",0,0,0,0,0,0.533,0,0.467,Neutral,6f3c48a6-e583-4c14-af0c-0f3821015552,0.02,blond,5
9,3,9,"        ""anger"": 0.001,
        ""contempt"": 0.002,
        ""disgust"": 0.002,
        ""fear"": 0.0,
        ""happiness"": 0.122,
        ""neutral"": 0.862,
        ""sadness"": 0.011,
        ""surprise"": 0.0
",0.001,0.002,0.002,0,0.122,0.862,0.011,0,Happiness,db02daae-d618-4fb1-bf3d-2b66bee9fd45,0.03,blond,3
10,5,10,"        ""anger"": 0.625,
        ""contempt"": 0.066,
        ""disgust"": 0.24,
        ""fear"": 0.0,
        ""happiness"": 0.002,
        ""neutral"": 0.065,
        ""sadness"": 0.003,
        ""surprise"": 0.0
",0.625,0.066,0.24,0,0.002,0.065,0.003,0,Anger,3971ba89-ec1c-484f-85e3-1f64c12e9b54,0.06,brown,5
11,7,11,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 1.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,0,1,0,0,Neutral,b55bae66-b19f-4be3-9c16-076bb70f5e0f,0.03,brown,7
12,5,12,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Happiness,12a80ea5-b976-4bc2-b160-4632beb6be14,0.79,blond,5
13,5,13,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.093,
        ""neutral"": 0.904,
        ""sadness"": 0.001,
        ""surprise"": 0.0
",0,0.001,0,0,0.093,0.904,0.001,0,Neutral,77d6f12f-e230-4f3e-8cb8-cfc1f09b3404,0.02,blond,5
14,8,14,"        ""anger"": 0.062,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.012,
        ""sadness"": 0.0,
        ""surprise"": 0.925
",0.062,0,0,0,0,0.012,0,0.925,Anger,d051d5c7-31ab-4e7a-84f3-4ab35ccc1c5a,0.04,brown,8
15,5,15,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,1,0,0,0,Happiness,c773854a-e9e4-4828-a233-3ce8ada052ad,0.02,brown,5
16,12,16,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 1.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0
",0,0,0,0,0,1,0,0,Neutral,58f68990-ee3d-4ef2-ae48-737c39d12b3e,0.05,black,12
17,6,17,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.597,
        ""neutral"": 0.401,
        ""sadness"": 0.001,
        ""surprise"": 0.0
",0,0.001,0,0,0.597,0.401,0.001,0,Neutral,9785d0d6-43f5-42cc-a1e4-5b8f0047f352,1.0,blond,6
18,14,18,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.99,
        ""sadness"": 0.0,
        ""surprise"": 0.008
",0,0,0,0,0.001,0.99,0,0.008,Neutral,536a56d7-3a38-4701-87b6-1f53dfdb8a10,0.12,brown,14
